Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Localization and movement of Tregs in gastrointestinal tract: a systematic review,10.1186/s41232-022-00232-8,3.0,,,no,not mentioned,3.0,"inflammatory bowel disease, graft-versus-host disease",digestive tract,"['Tregs', 'immune homeostasis', 'in vivo imaging']",[],"No, this paper should not be included as it primarily focuses on immune cell behavior within the gastrointestinal tract rather than exploring broader human mobility influences on infectious diseases."
Evidence for emergence of an amphibian iridoviral disease because of human-enhanced spread,10.1111/j.1365-294X.2004.02387.x,,,,,,,,,,,
Rift Valley fever - a growing threat to humans and animals,10.2478/jvetres-2021-0009,,,,,,,,,,,
Animal migration in the Anthropocene: threats and mitigation options,10.1111/brv.13066,2.0,,,no,not mentioned,5.0,not specified,global,"['animal migration', 'Anthropocene', 'biodiversity']",[],"No, this paper should not be included as it primarily focuses on the broader impacts of human activities on animal migration rather than directly on human mobility and infectious diseases."
A Review of the Environmental Trigger and Transmission Components for Prediction of Cholera,10.3390/tropicalmed6030147,7.0,,,no,not mentioned,16.0,cholera,global,"['cholera outbreak', 'environmental triggers', 'SEIR model']",['SEIR model'],"Yes, this paper should be included as it discusses the impact of environmental factors and human vulnerability on cholera outbreaks, which are essential for understanding the transmission dynamics in the context of human mobility. However, the paper primarily focuses on environmental variables rather than direct human mobility factors."
Exercise in an Overweight Patient with Covid-19: A Case Study,10.3390/ijerph18115882,3.0,,,no,not mentioned,10.0,COVID-19,Rafsanjan,"['COVID-19', 'low-intensity exercise', 'rehabilitation']",[],"No, this paper should not be included as it focuses on the impact of exercise on COVID-19 recovery rather than the effects of human mobility on infectious disease transmission."
Globally invasive genotypes of the amphibian chytrid outcompete an enzootic lineage in coinfections,10.1098/rspb.2018.1894,3.0,,,no,not mentioned,19.0,chytrid fungus,southern Brazil,"['pathogen evolution', 'strain competition', 'chytrid fungus']",['digital PCR (dPCR)'],"No, this paper should not be included in a discussion specifically about human mobility and infectious diseases, as it focuses primarily on pathogen competition within a specific host species and does not directly address human mobility or its impacts on infectious disease patterns at a human scale."
The Dispersal Ecology of Rhodesian Sleeping Sickness Following Its Introduction to a New Area,10.1371/journal.pntd.0002485,,,,,,,,,,,
"A Mapping Review on Urban Landscape Factors of Dengue Retrieved from Earth Observation Data, GIS Techniques, and Survey Questionnaires",10.3390/rs12060932,8.0,,,no,not mentioned,23.0,dengue,global,"['dengue', 'urban landscape', 'GIS']",[],"Yes, this paper should be included because it focuses on the relationship between urban landscape factors and dengue cases, providing insights into the geographical distribution of human populations in relation to infectious diseases."
Integrating the landscape epidemiology and genetics of RNA viruses: rabies in domestic dogs as a model,10.1017/S003118201200090X,8.0,,,no,not mentioned,30.0,rabies,global,"['landscape epidemiology', 'landscape genetics', 'dog rabies']","['metapopulation models', 'transmission networks']","Yes, this paper should be included because it integrates human mobility and sociocultural factors into the landscape epidemiology of dog rabies, providing insights into infectious disease dynamics influenced by human actions."
Exploring pig raising in Bangladesh: implications for public health interventions,,6.0,,,no,not mentioned,13.0,zoonoses,Bangladesh,"['pig raising', 'public health interventions', 'zoonoses']",[],"Perhaps, this paper should be included due to its insight on human-animal interactions in a specific setting leading to disease transmission, although it might not directly focus on broader patterns of human mobility."
Emerging viral threats to the Australian blood supply,10.1111/j.1753-6405.2008.00254.x,4.0,,,no,not mentioned,27.0,"dengue, Ross River virus, Barmah Forrest virus, Kunjin virus, Japanese Encephalitis, Murray Valley Encephalitis",Australia,"['viral threats', 'blood supply', 'Australia']",[],"Yes, this paper should be included because it highlights the implications of population movements on viral infections in Australia, especially in the context of blood transfusion safety. While not directly modeling human mobility, the indirect influence through the vector of population movement and infectious disease is pertinent."
Front Propagation of Exponentially Truncated Fractional-Order Epidemics,10.3390/fractalfract6020053,7.0,,,no,not mentioned,4.0,not specified,global,"['Levy flights', 'fractional-order diffusion', 'epidemic propagation']",['truncated fractional-order diffusion equations'],"Yes, this paper should be included in discussion due to its innovative approach using truncated fractional-order diffusion equations to model the spatial propagation of epidemics, although it does not specifically focus on human diseases."
Isothermal Nucleic Acid Amplification Technologies for the Detection of Equine Viral Pathogens,10.3390/ani11072150,4.0,,,no,not mentioned,8.0,equine viral diseases,global,"['equine viral diseases', 'isothermal amplification', 'biosecurity']","['loop-mediated isothermal amplification', 'insulated isothermal polymerase chain reaction']","No, this paper should not be included because it focuses primarily on veterinary infectious diseases and diagnostic technologies for equines rather than the broader interaction of human mobility with infectious diseases. While there is mention of zoonotic diseases, the main emphasis is not aligned with the central themes typically discussed in human mobility and overall infectious disease management in humans."
Enhancing indoor building occupant safety in the built environment: Assessing the validity of social force modeling for simulating physical distancing behaviors,10.1016/j.dibe.2024.100336,8.0,,,no,not mentioned,0.0,COVID-19,indoor environments,"['Social Force Model', 'physical distancing', 'COVID-19']","['Social Force Model', 'Pandemic SFM']","Yes, this paper should be included because it provides a specific focus on modeling indoor mobility and physical distancing measures during an infectious disease pandemic, employing advanced simulation models to address these challenges."
"First, second and potential third generation spreads of the COVID-19 epidemic in mainland China: an early exploratory study incorporating location-based service data of mobile devices",10.1016/j.ijid.2020.05.048,9.0,,,no,not mentioned,13.0,COVID-19,Mainland China,"['COVID-19', 'human mobility', 'epidemic spread']","['Pearson correlation coefficient', 'spatial stratified heterogeneity']","Yes, this paper should be included because it provides a detailed analysis of how human mobility influenced the spread of COVID-19 in different generations of the epidemic, offering valuable insights into the mechanisms of disease transmission linked to human movements."
Evaluating the Influence of Epidemiological Parameters and Host Ecology on the Spread of Phocine Distemper Virus through Populations of Harbour Seals,10.1371/journal.pone.0002710,6.0,,,no,not mentioned,8.0,phocine distemper virus,Europe,"['epidemiological parameters', 'harbour seals', 'phocine distemper virus']","['individual-based model', 'Generalised Linear Modelling']","Yes, this paper should be included since it provides insights into the spread of infectious diseases among animal populations, which can offer valuable parallels in understanding diseases spread in human populations influenced by mobility. Though it primarily focuses on animal epidemiology, the methodologies and findings could be applicable or provide an important comparative basis for human-focused research."
Current ecological understanding of fungal-like pathogens of fish: what lies beneath?,10.3389/fmicb.2014.00062,3.0,,,no,not mentioned,94.0,fungal and fungal-like infections in fish,global,"['fungal pathogens', 'fish populations', 'ecological impact']",[],"No, this paper should not be included because it focuses on fungal and fungal-like infections in fish rather than human mobility and its direct effects on human-centric infectious diseases. The study's relevance to the human mobility-infectious disease interface is tangential as it pertains more to environmental and wildlife conservation issues."
